job_id,title,company,location,url,description
84646084,Software Engineer,Juncture IT Pty Ltd,North Sydney,https://www.seek.com.au/job/84646084,Description not found
84751230,Software Engineer,Binary IT Pty Ltd,Homebush West,https://www.seek.com.au/job/84751230,Description not found
84808241,Software Engineer,SYPAQ Systems,Port Melbourne,https://www.seek.com.au/job/84808241,Error fetching description
84531282,Graduate/Junior Software Engineer,Marcel Pacific,Fremantle,https://www.seek.com.au/job/84531282,Error fetching description
84807970,Full Stack Developer,Buildsafe Queensland Pty Ltd,Arundel,https://www.seek.com.au/job/84807970,Error fetching description
84785143,Software Developer,Private Advertiser,Tuggerah,https://www.seek.com.au/job/84785143,Error fetching description
84807061,Developer Programmer,Canterbury Timber & Building Supplies,Strathfield South,https://www.seek.com.au/job/84807061,Error fetching description
84259847,Software Engineer,AGITO Group Pty Ltd,Melbourne VIC,https://www.seek.com.au/job/84259847,Error fetching description
84047516,Software Engineer,CompliSpace Pty Ltd,Sydney NSW,https://www.seek.com.au/job/84047516,Error fetching description
84736935,Software Engineer,Aerodynamic Pty Ltd,Keilor Park,https://www.seek.com.au/job/84736935,Error fetching description
